frames,blue x,blue y,green x,green y,pink x,pink y,yellow x,yellow y,,,,
46,141.75728155339806,1001.5242718446602,526.7606837606837,1252.8803418803418,76.50877192982456,1486.7368421052631,118.55844155844156,1013.8571428571429,,,,
47,144.90291262135923,1001.6796116504854,539.7241379310345,1237.0,78.64024390243902,1487.2134146341464,121.54117647058824,1013.8470588235294,,,,
48,147.0097087378641,1001.252427184466,552.1074380165289,1220.099173553719,80.3913043478261,1488.2880434782608,124.33,1014.57,,,,
49,150.15217391304347,1001.1847826086956,563.5126050420168,1203.218487394958,82.30057803468208,1488.8150289017342,127.75,1015.34375,,,,
50,153.9878048780488,1001.4634146341464,575.3303571428571,1185.482142857143,84.6145251396648,1489.0167597765362,132.2051282051282,1017.1666666666666,,,,
51,158.64705882352942,1001.9882352941177,586.8181818181819,1167.8484848484848,87.15469613259668,1489.7016574585634,136.1098901098901,1016.7252747252747,,,,
52,163.2127659574468,1002.8617021276596,597.5444444444445,1148.7777777777778,90.34594594594594,1489.908108108108,141.2987012987013,1018.077922077922,,,,
53,168.38202247191012,1003.7640449438202,609.25,1130.235294117647,93.53374233128834,1490.7423312883436,146.01098901098902,1018.0879120879121,,,,
54,173.95294117647057,1004.8941176470588,618.7910447761194,1111.910447761194,96.63243243243244,1492.0648648648648,151.3048780487805,1020.0121951219512,,,,
55,178.90588235294118,1004.4705882352941,628.5192307692307,1093.0576923076924,99.76363636363637,1492.4727272727273,157.3170731707317,1019.609756097561,,,,
56,184.04,1004.5,637.3939393939394,1075.090909090909,102.86458333333333,1493.4166666666667,163.58024691358025,1023.0246913580247,,,,
57,190.22115384615384,1005.0288461538462,644.7368421052631,1054.6315789473683,106.40106951871658,1493.7807486631016,169.74074074074073,1021.679012345679,,,,
58,197.2685185185185,1005.3981481481482,652.4594594594595,1035.1351351351352,110.33333333333333,1494.3121693121693,174.84375,1018.65625,,,,
59,203.87878787878788,1006.2222222222222,658.8852459016393,1015.4098360655738,114.28191489361703,1494.8085106382978,182.8,1021.3555555555556,,,,
60,212.1734693877551,1007.5510204081633,666.6,995.88,119.01530612244898,1496.1836734693877,190.6904761904762,1024.9761904761904,,,,
61,219.39795918367346,1008.5612244897959,673.0675675675676,977.3918918918919,123.72777777777777,1496.7388888888888,198.03636363636363,1027.8727272727272,,,,
62,228.08823529411765,1009.7941176470588,679.2428571428571,956.9714285714285,128.78857142857143,1497.5542857142857,205.1818181818182,1028.6545454545455,,,,
63,235.78125,1010.625,683.5959595959596,936.3434343434343,133.04819277108433,1498.421686746988,215.4,1030.2769230769231,,,,
64,244.35227272727272,1011.9204545454545,687.6067415730337,915.6741573033707,138.24698795180723,1499.2289156626507,224.0,1032.2203389830509,,,,
65,253.26829268292684,1013.4878048780488,691.4421052631579,896.0842105263158,143.25153374233128,1500.484662576687,234.5121951219512,1034.0,,,,
66,263.2926829268293,1015.2926829268292,694.3086419753087,876.0370370370371,148.8860759493671,1501.6582278481012,246.12345679012347,1037.358024691358,,,,
67,274.34177215189874,1017.493670886076,697.012987012987,856.6363636363636,155.17791411042944,1503.006134969325,257.54761904761904,1039.7857142857142,,,,
68,285.3804347826087,1020.3695652173913,698.5714285714286,837.2142857142857,161.84795321637426,1503.8362573099416,269.39080459770116,1042.448275862069,,,,
69,296.71084337349396,1022.7951807228916,699.3454545454546,818.4181818181818,168.58282208588957,1504.4049079754602,282.31632653061223,1044.8673469387754,,,,
70,308.54651162790697,1025.3720930232557,698.8,799.1714285714286,174.91095890410958,1505.5342465753424,294.67816091954023,1047.8275862068965,,,,
