frames,point 0 x,point 0 y
133,640.5223577235772,363.0975609756098
134,641.3613963039014,363.3593429158111
135,642.9558232931727,362.87951807228916
136,644.3293172690763,363.359437751004
137,645.7762376237624,363.3821782178218
138,647.2204081632653,363.40408163265306
139,648.0918367346939,363.4836734693878
140,649.3680981595093,363.25357873210635
141,650.2349397590361,363.41967871485946
142,651.5481927710844,363.5281124497992
143,652.5905511811023,363.9507874015748
144,653.5964912280701,363.79142300194934
145,654.8056112224449,363.9498997995992
146,655.4039215686274,364.1156862745098
147,656.5265225933202,364.3045186640471
148,657.403578528827,364.2763419483101
149,658.6852589641434,364.6972111553785
150,659.5816733067729,364.6792828685259
151,660.5906432748538,364.906432748538
152,661.740234375,364.82421875
153,662.494071146245,365.1403162055336
154,663.3497053045187,365.6620825147348
155,664.4664031620554,364.82806324110675
156,665.2102161100197,365.3791748526523
157,665.6679764243615,365.2652259332024
158,666.7440944881889,365.1751968503937
159,666.978886756238,366.2284069097889
160,667.716,365.962
161,668.4738878143133,365.9651837524178
162,668.923828125,365.759765625
163,669.6757281553398,365.895145631068
164,670.2859922178989,365.9533073929961
165,670.8027079303675,366.3365570599613
166,671.4604743083004,366.19169960474306
167,672.0019193857966,365.87523992322457
168,672.4588910133843,366.23900573613764
169,672.7847619047619,366.5180952380952
170,673.1587901701323,366.5179584120983
171,673.6349809885932,365.9011406844106
172,674.1444866920152,366.39923954372625
173,674.5406976744187,366.7906976744186
174,674.4847328244275,367.0458015267176
175,674.7238095238096,367.0190476190476
176,674.943137254902,367.2098039215686
177,675.8346456692914,367.1377952755906
178,676.2271844660194,366.695145631068
179,676.2130177514792,367.27810650887574
180,676.544776119403,367.51119402985074
181,676.7467652495379,367.6173752310536
182,676.9436090225564,367.4436090225564
183,677.1447619047619,367.5180952380952
184,677.0839694656488,367.62213740458014
185,677.4467680608365,367.29847908745245
186,677.4392156862746,367.75882352941176
187,677.5441767068273,367.47791164658634
188,677.559118236473,367.14228456913827
189,677.5911823647294,367.501002004008
190,677.7102040816327,367.56326530612245
191,677.9596602972399,367.64118895966027
192,678.3036093418259,366.9108280254777
193,678.2334047109208,367.18843683083514
194,678.2631578947369,367.7178947368421
195,678.3340292275574,367.68058455114823
196,678.5511482254698,367.6826722338205
197,678.7113821138212,368.0569105691057
198,679.3965517241379,365.9950738916256
199,679.5512195121951,365.97317073170734
200,679.8505434782609,365.3423913043478
201,679.5226666666666,365.51733333333334
202,679.2631578947369,365.11357340720224
203,679.4379562043796,365.3917274939173
204,679.2987951807229,365.39518072289155
205,679.3496503496503,365.7435897435897
206,679.203125,365.6049107142857
207,679.1914893617021,366.3936170212766
208,679.1507430997876,366.4203821656051
209,678.769392033543,366.230607966457
210,678.6695464362851,366.48596112311014
211,678.2536082474227,366.43711340206187
212,677.6418511066398,366.1951710261569
213,677.2205882352941,365.97058823529414
214,676.4502074688796,365.5663900414938
215,675.6107660455486,365.58385093167703
216,674.5523613963039,365.3347022587269
217,673.7546391752577,365.43711340206187
218,672.4421487603306,364.7376033057851
219,671.1645833333333,364.7
220,669.7775467775468,364.5925155925156
221,668.5398773006135,364.7361963190184
222,666.8329896907217,364.4453608247423
223,665.4656964656965,364.5571725571726
224,663.7995867768595,364.8429752066116
225,661.8162839248434,364.32776617954073
226,659.6756756756756,363.96673596673594
227,657.2863070539419,363.7033195020747
228,654.8907216494846,363.62680412371134
229,652.1384928716905,363.8492871690428
230,649.7594936708861,362.86708860759495
231,646.9161425576519,363.0607966457023
232,644.2430703624733,362.56716417910445
233,641.5296610169491,362.2457627118644
234,638.8658280922432,362.37735849056605
235,636.3593073593073,362.1363636363636
236,633.6774891774892,361.97835497835496
237,630.9674620390456,362.0542299349241
238,628.3182795698925,362.0064516129032
239,625.5481171548117,361.8682008368201
240,622.6307053941908,361.99170124481327
241,620.0953389830509,361.81779661016947
242,617.6744186046511,361.9260042283298
243,614.8921161825726,361.7780082987552
244,611.8991596638656,361.91806722689074
245,609.3375262054508,361.5492662473795
246,606.4017094017094,361.79059829059827
247,603.6637931034483,361.6336206896552
248,600.4625850340136,361.1156462585034
249,597.387168141593,361.07964601769913
250,594.2819383259912,361.1079295154185
251,591.5250544662309,360.9782135076253
252,588.3533333333334,361.37111111111113
253,585.4422222222222,361.16
254,582.4486607142857,361.2142857142857
255,579.3311965811965,361.1773504273504
256,576.5424836601308,361.3355119825708
257,573.7282608695652,361.43260869565216
258,570.6458333333334,361.6958333333333
259,567.7613882863341,361.882863340564
260,565.2108695652174,362.0891304347826
261,562.3948497854077,361.7875536480687
262,559.4432773109244,361.9495798319328
263,557.0239130434783,361.99347826086955
264,554.4660831509847,362.24507658643324
265,552.265350877193,362.0964912280702
266,549.7964601769911,361.75221238938053
267,547.4432071269488,361.39198218262806
268,544.8052516411378,362.3698030634573
269,542.7620087336245,362.2292576419214
270,539.6880341880342,362.3311965811966
271,537.4276595744681,362.55744680851063
272,535.1648822269807,362.5695931477516
273,532.4497816593887,362.78384279475983
274,530.3733333333333,363.02222222222224
275,528.0065075921909,363.6637744034707
276,525.6369565217391,363.2869565217391
277,523.3888888888889,363.8226495726496
278,521.5849462365592,363.85376344086023
279,519.5032119914347,364.1713062098501
280,517.0930735930735,364.038961038961
281,515.2723404255319,364.4531914893617
282,512.8520971302428,364.0419426048565
283,510.71030042918454,364.37124463519314
284,508.8702928870293,364.8326359832636
285,506.8185654008439,364.82911392405066
286,504.89870689655174,364.5905172413793
287,503.3422818791946,365.12080536912754
288,501.64125560538116,365.3340807174888
289,499.6734234234234,365.27477477477476
290,497.8893905191874,365.6004514672686
291,496.5337837837838,365.85585585585585
292,494.69181034482756,365.97629310344826
293,493.0191082802548,366.32696390658174
294,491.2835164835165,366.3824175824176
295,489.82608695652175,366.6891304347826
296,488.53319057815844,367.63169164882225
297,487.3340611353712,367.3427947598253
298,486.3220338983051,367.6906779661017
299,485.2390852390852,367.84615384615387
300,484.6,368.03505154639174
301,483.359243697479,368.5504201680672
302,482.9793388429752,368.66735537190084
303,482.37627811860943,368.83435582822085
304,481.58196721311475,369.01024590163934
305,481.156746031746,369.0079365079365
306,480.8452380952381,369.218253968254
307,480.35051546391753,369.4185567010309
308,480.0061475409836,369.655737704918
309,479.75,369.8089430894309
310,479.2848605577689,370.27091633466136
311,479.3702213279678,370.0261569416499
312,479.08651911468814,370.50905432595573
